Filename;Instrument;Professeur;Nom compositeur;Titre de l'œuvre;Langue;Status
ITWL_Coppey;Violoncelle;Marc Coppey;;Interview - Marc Coppey;FR;Online
ITWL_Martine;Violon;Mihaela Martin;;Interview - Mihaela Martin;FR;Online
ITWL_Kam;Clarinette;Sharon Kam;;Interview - Sharon Kam;EN;Online
ITWL_Carredu;Flute;Silvia Careddu;;Interview - Silvia Careddu;FR;Online
ITWL_Makarova;Violon;Svetlana Makarova;;Interview - Svetlana Makarova;FR;Online
ITWL_Paparami;Violon;Tedi Papavrami;;Interview - Tedi Papavrami;FR;Online
ITWL_Fellner;Piano;Till Fellner;;Interview - Till Fellner;EN;Online
2022_04_11_06_1;Chant;Jean-Paul Fouchécourt;Antonio Vivaldi;Juditha Triumphans, RV 644, Armatae Face et Anguibus;FR;Online
2022_07_28_02_1;Piano;Anne-Lise Gastaldi;Joseph Haydn;Keyboard Sonata in C major;FR;A post-produire (Olivier)
2022_07_20_01_1;Piano;Akiko Ebi;Joseph Haydn;Keyboard Sonata in E-flat major. 1. Allegro;JAP;A post-produire (Olivier)
2023_02_17_01_01;Piano;Aleksandar Madzar;Robert SCHUMANN;Kinderszenen;Anglais;
2020_10_6_1;Piano;Claire-Marie Le Guay;Johannes Brahms;Klavierstück: Six Pieces for Piano, Op. 118, Ballade;FR;Online
2022_07_29_01_1;Flute;Sophie Cherrier;Wolfgang Amadeus Mozart;Konzer für Flüge und Orchester. 1 Mvt;FR;A post-produire (Olivier)
2022_08_03_04_1;Piano;Johan Schmidt;Robert Schumann;Kreisleriana Seinem Freunde F.Chopin zugeeignet Op.8;FR;A post-produire (Olivier)
2022_04_11_03_1;Chant;Jean-Paul Fouchécourt;Gioachino Rossini ;La Cenerentola, Ramiro's Aria;FR;Online
2022_02_16_06_1;Chant;Maarten Koningsberger;Wolfgang Amadeus Mozart;La clemenza di Tito, Servilia's aria (S'altro che lagrime);EN;Online
2023_02_06_05_01;Voix;Antoine PALLOC;Amilcare PONCHIELLI;LA GIOCONDA;Anglais;
2022_04_13_09_1;Chant;Jean-Paul Fouchécourt;Giacomo Puccini;La Rondine, Magda's Aria (Che bel sogno di Doretta);FR;Online
2021_04_14_06;Chant;François Le Roux;Francis Poulenc;La voix humaine;FR;Online
2022_04_13_04_1;Chant;Jean-Paul Fouchécourt;Léo Delibes;Lakmé, Air de Nilakantha (Ton doux regard se voile);FR;Online
2022_04_11_04_1;Chant;Jean-Paul Fouchécourt;Léo Delibes;Lakmé, Gérard's Aria (Fantaisie aux divins mensonges);FR;Online
2023_02_08_03_01;Voix;Antoine PALLOC;Francesco CILEA;L'Arlesiana;Anglais;
2023_02_06_04_01;Voix;Antoine PALLOC;Wolfgang Amadeus MOZART;Le nozze de Figaro, K.492;Anglais;
2022_02_16_04_1;Chant;Maarten Koningsberger;Wolfgang Amadeus Mozart;Le nozze di Figaro, Susanna's aria (Giunse alfin il momento);EN;Online
2022_11_01_03_1;Piano;Jean-Frédéric Neuburger;Maurice Ravel;Le tombeau de Couperin;EN;A post-produire (Olivier)
